delo,plača neto,kraj,delovnik,trajanje
RAZVOZ,7.74 €/h neto,ŠKJOFJA LOKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,8.45 €/h neto,LJUBLJANA,PO DOGOVORU,"ČETRTEK, 8. 8. 2024"
DELO NA BENCINSKEM SERVISU,8.52 €/h neto,ILIRSKA BISTRICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,6.88 €/h neto,PODKUM,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
SOBAR/ICA,8.00 €/h neto,IZOLA - ISOLA D&#039;ISTRIA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
LAŽJA FIZIČNA DELA,8.61 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,8.61 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.85 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,14.00 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V TURIZMU,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZDRAVSTVENA NEGA,7.10 €/h neto,DOL PRI LJUBLJANI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.39 €/h neto,ŠENTJUR,DOPOLDAN,PO DOGOVORU
DELO V LOGISTIKI,7.00 €/h neto,KOPER,PO DOGOVORU,POČITNIŠKO DELO
KOZMETIČNE STORITVE,6.20 €/h neto,CELJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIOTERAPIJA,6.20 €/h neto,CELJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA STOJNICI,8.00 €/h neto,ČATEŽ,POPOLDAN,DO 31. 8. 2024
RAZVOZ,7.50 €/h neto,CERKLJE NA GORENJSKEM,IZMENSKO,PO DOGOVORU
STREŽBA,7.00 €/h neto,ŠKOFLJICA,IZMENSKO,PO DOGOVORU
STREŽBA,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,PO DOGOVORU,GORENJSKA,POPOLDAN,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,IVANČNA GORICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,7.12 €/h neto,KRANJ,DOPOLDAN,PO DOGOVORU
PRODAJA,8.00 €/h neto,PIRAN,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V RENT A CAR AGENCIJI,6.28 €/h neto,MARIBOR,PO DOGOVORU,PO DOGOVORU
LAŽJA FIZIČNA DELA,7.00 €/h neto,LJUBLJANA ČRNUČE,DOPOLDAN,8. 8. 2024 MED 8. IN 16. URO
POLNJENJE POLIC,6.20 €/h neto,BOVEC,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA HRANE IN PIJAČE,PO DOGOVORU,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
KOZMETIČNE STORITVE,9.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V DELAVNICI,8.00 €/h neto,GROSUPLJE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.14 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ NA PODROČJU MARKETINGA,7.00 €/h neto,KRANJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.00 €/h neto,KRANJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.12 €/h neto,ANKARAN (DEBELI RTIČ),IZMENSKO,POČITNIŠKO DELO
DELO V PROIZVODNJI,7.31 €/h neto,KRANJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.50 €/h neto,SEŽANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LOGISTIKI,6.42 €/h neto,KOPER,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,8.00 €/h neto,LJUBLJANA ŠENTVID,DOPOLDAN,DO KONCA SEPTEMBRA
