delo,plača neto,kraj,delovnik,trajanje
DELO V LOTERIJI,7.00 €/h neto,CELJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,LJUBLJANA - RUDNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.21 €/h neto,CELJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.50 €/h neto,PTUJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROMOCIJA,6.69 €/h neto,LJUBLJANA,MED VIKENDI,DO 31. 8. 2024
PROGRAMIRANJE,10.00 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
SNEMANJE IN UREJANJE KRATKIH VIDEOV,8.61 €/h neto,MARIBOR OKOLICA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,6.20 €/h neto,ZG. HAJDINA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,7.00 €/h neto,LJUBLJANA,DOPOLDAN,DO NAJMANJ 15. 10. 2024
STREŽBA,7.50 €/h neto,KRANJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,8.00 €/h neto,BLED,IZMENSKO,PO DOGOVORU
DELO V PROIZVODNJI,7.12 €/h neto,PTUJ,IZMENSKO,POČITNIŠKO DELO
FIZIČNA DELA,9.00 €/h neto,PTUJ,IZMENSKO,POČITNIŠKO DELO
ČIŠČENJE,8.00 €/h neto,BLED,IZMENSKO,POČITNIŠKO DELO
TELEFONSKI MARKETING,6.20 €/h neto,MARIBOR,PO DOGOVORU,PO DOGOVORU
POMOČ V KUHINJI,6.20 €/h neto,LJUBLJANA ŠIŠKA,PO DOGOVORU,PO DOGOVORU
POMOČ PRI PRODAJI,7.74 €/h neto,RADOVLJICA,PO DOGOVORU,PO DOGOVORU
POMOČ V STREŽBI,7.31 €/h neto,LOGATEC,IZMENSKO,POČITNIŠKO DELO
STREŽBA HRANE IN PIJAČE,7.74 €/h neto,LOGATEC,IZMENSKO,POČITNIŠKO DELO
POUČEVANJE,15.00 €/h neto,JESENICE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STROKOVNO DELO,6.30 €/h neto,LJUBLJANA / OD DOMA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,6.45 €/h neto,LJUBLJANA RUDNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
KLICNI CENTER,6.50 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
RAZVOZ,6.88 €/h neto,"OKOLICA BLEDA, OBČASNO LJUBLJANA",PO DOGOVORU,POČITNIŠKO DELO
PROMOCIJA,9.00 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZAHTEVNA ADMINISTRATIVNA DELA,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,MEDVODE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.50 €/h neto,VRANSKO,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
LAŽJA FIZIČNA DELA,6.88 €/h neto,MENGEŠ,PO DOGOVORU,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,10.00 €/h neto,VRHNIKA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.45 €/h neto,LJUBLJANA,IZMENSKO,POČITNIŠKO DELO
POMOČ V STREŽBI,7.50 €/h neto,LOGATEC,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,8.00 €/h neto,VRHNIKA,IZMENSKO,PO DOGOVORU
ADMINISTRATIVNA DELA,7.06 €/h neto,LJUBLJANA-ČRNUČE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
HOSTES/A,8.66 €/h neto,LJUBLJANA,PO DOGOVORU,POČITNIŠKO DELO
POMOČ PRI PRODAJI,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.51 €/h neto,KRŠKO,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ANKETIRANJE PO TELEFONU,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
LAŽJA FIZIČNA DELA,8.61 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POSPEŠEVANJE PRODAJE,6.88 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.40 €/h neto,SLOVENSKA BISTRICA,IZMENSKO,PO DOGOVORU
STREŽBA,10.18 €/h neto,SLOVENSKA BISTRICA,PO DOGOVORU,PO DOGOVORU
POMOČ UPORABNIKOM,7.74 €/h neto,LJUBLJANA ŠIŠKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.00 €/h neto,PODZEMELJ OB KOLPI,DOPOLDAN,POČITNIŠKO DELO
STREŽBA,8.17 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.20 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,8.61 €/h neto,LJUBLJANA BTC,PO DOGOVORU,PO DOGOVORU
DELO V LOTERIJI,7.00 €/h neto,SEŽANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,8.15 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.15 €/h neto,KRANJ,PO DOGOVORU,PO DOGOVORU
PROMOCIJA,9.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROMOCIJA,8.61 €/h neto,LJUBLJANA BTC,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,8.00 €/h neto,LJUBLJANA CENTER,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,8.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
NEGOVANJE,7.74 €/h neto,KRANJ IN ŠENČUR Z OKOLICO,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
TELEFONSKI MARKETING,6.88 €/h neto,MARIBOR TEZNO,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,8.50 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
KOZMETIČNE STORITVE,PO DOGOVORU,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
INŠTRUKCIJE,9.60 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
INŠTRUKCIJE,9.60 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,12.91 €/h neto,LJUBLJANA,POPOLDAN,PO DOGOVORU
BLAGAJNIK,8.00 €/h neto,KAMNIK,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.63 €/h neto,LJUBLJANA VIŽMARJE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,9.00 €/h neto,VRHNIKA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V AVTOPRALNICI,7.31 €/h neto,NAKLO,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,ŠENTJUR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,6.50 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
LAŽJA FIZIČNA DELA,7.00 €/h neto,TREBNJE,DOPOLDAN,31. 8.  IN 1. 9. 2024
POMOČ V TRGOVINI,7.64 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
DELO NA RECEPCIJI,8.00 €/h neto,BOVEC,IZMENSKO,SEPTEMBER
ANIMATOR/KA,6.50 €/h neto,LJUBLJANA - RUDNIK,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
KLICNI CENTER,6.20 €/h neto,LJUBLJANA - NOVE JARŠE,DOPOLDAN,POČITNIŠKO DELO
"UREJANJE DRUŽ. OMREŽIJ (FB,IN,TW,TIK TOK)",15.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,7.12 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
SPREMLJEVALEC/ SPREMLJEVALKA,7.10 €/h neto,LJUBLJANA - MOSTE,PO DOGOVORU,PO DOGOVORU
POMOČ V TRGOVINI,7.74 €/h neto,ILIRSKA BISTRICA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,ŽALEC,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,LITIJA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,ŠENTJUR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,TRBOVLJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
KOZMETIČNE STORITVE,8.61 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,CELJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,CELJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,ORMOŽ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,9.27 €/h neto,MARIBOR,DOPOLDAN,PO DOGOVORU
POMOČ V TRGOVINI,7.74 €/h neto,MURSKA SOBOTA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,9.27 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
POMOČ V TRGOVINI,7.74 €/h neto,RADLJE OB DRAVI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
VNOS PODATKOV V RAČUNALNIK,6.71 €/h neto,LJUBLJANA,DOPOLDAN,OBDOBJE OD 1. 9 DO PRIBL. 15. 11. 
POMOČ V TRGOVINI,7.74 €/h neto,VELENJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,LESCE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,TRŽIČ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,KRANJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.74 €/h neto,JESENICE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROJEKTNO DELO,PO DOGOVORU,OD DOMA,DOPOLDAN,3 TEDNE
POMOČ V KUHINJI,7.74 €/h neto,ČRNI KAL,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,LJUBLJANA,PO DOGOVORU,POČITNIŠKO DELO
POMOČ V STREŽBI,8.00 €/h neto,PIRAN,PO DOGOVORU,POČITNIŠKO DELO
BLAGAJNIK,7.74 €/h neto,LJUBLJANA BTC,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,8.50 €/h neto,MENGEŠ,DOPOLDAN,DO 15. 9. 2024
OBDELAVA PODATKOV,6.88 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.50 €/h neto,ŠKOFJA LOKA,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,6.20 €/h neto,NAZARJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.20 €/h neto,CERKLJE NA GORENJSKEM,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.20 €/h neto,SVETA ANA,DOPOLDAN,PO DOGOVORU
STROJNIŠKA DELA,7.74 €/h neto,SEŽANA,DOPOLDAN,DO NOVEMBRA
KOZMETIČNE STORITVE,10.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.74 €/h neto,VITOMARCI,PO DOGOVORU,PO DOGOVORU
POMOČ UPORABNIKOM,7.00 €/h neto,LJUBLJANA IN OD DOMA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
TRENER/KA,15.00 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,9.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,7.30 €/h neto,ORMOŽ,DOPOLDAN,PO DOGOVORU
POMOČ PRI PRODAJI,6.88 €/h neto,LJUBLJANA - VIČ,POPOLDAN,PO DOGOVORU
POMOČ V STREŽBI,7.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,8.61 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAČUNOVODSKA DELA,6.54 €/h neto,BLED,DOPOLDAN,DO 30. 9. 2024
INVENTURA,6.20 €/h neto,SLOVENSKA BISTRICA,DOPOLDAN,"SREDA, 6. 9. 2024"
FIZIOTERAPIJA,10.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,7.74 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STROKOVNO DELO,7.50 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.51 €/h neto,KRANJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
INVENTURA,6.20 €/h neto,MARIBOR,DOPOLDAN,"PETEK, 6. 9. 2024"
STREŽBA,8.00 €/h neto,DOMŽALE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,8.15 €/h neto,VAVTA VAS,PO DOGOVORU,PO DOGOVORU
POUČEVANJE,8.15 €/h neto,VAVTA VAS,PO DOGOVORU,PO DOGOVORU
POMOČ V TRGOVINI,7.12 €/h neto,VRHNIKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.12 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,6.45 €/h neto,KOPER,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.20 €/h neto,LJUBLJANA VIČ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,PO DOGOVORU,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,12.39 €/h neto,OKOLICA VRHNIKE,PO DOGOVORU,PO DOGOVORU
TELEFONSKI MARKETING,12.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,PO DOGOVORU,"VRŠIČ, KRANJSKA GORA",PO DOGOVORU,POLETNA SEZONA
ČIŠČENJE,7.00 €/h neto,IVANČNA GORICA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA BENCINSKEM SERVISU,7.00 €/h neto,SEVNICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ELEKTROTEHNIČNA DELA,8.61 €/h neto,KOMENDA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RAČUNALNIKU,11.36 €/h neto,ZGORNJI BRNIK,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STROJNIŠKA DELA,7.87 €/h neto,ŠEMPETER PRI GORICI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA BENCINSKEM SERVISU,7.94 €/h neto,POVIR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROJEKTIRANJE,"PO DOGOVORU, GLEDE NA ZNANJE IN IZKUŠNJE",LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,7.74 €/h neto,SEŽANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA TERENU,7.12 €/h neto,"LENART, MARIBOR IN BLIŽNJA OKOLICA",DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,7.00 €/h neto,GRIŽE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZDRAVSTVENI TEHNIK,6.88 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
PRODAJA,7.50 €/h neto,PIRAN,PO DOGOVORU,PO DOGOVORU
DELO V LABORATORIJU,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,8.00 €/h neto,PORTOROŽ,IZMENSKO,PO DOGOVORU
RAZVOZ,7.20 €/h neto,"KOPER, HRVATINI",IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.00 €/h neto,GROSUPLJE,PO DOGOVORU,POČITNIŠKO DELO
POMOČ PRI PRODAJI,6.20 €/h neto,KOPER,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DIGITALNI MARKETING,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROGRAMIRANJE,11.19 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (OBČASNO)
INFORMATIKA,9.90 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V ORDINACIJI,8.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.20 €/h neto,DOMŽALE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
KOZMETIČNE STORITVE,8.61 €/h neto,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ASISTENT/KA,8.70 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
HOSTES/A,8.00 €/h neto,LENART V SLOVENSKIH GORICAH,DOPOLDAN,"SREDA, 18. 9. 2024 OD 09:00 DO 14:00"
POMOČ V KUHINJI,8.61 €/h neto,BOHINJ,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA HRANE IN PIJAČE,8.61 €/h neto,BOHINJ,PO DOGOVORU,POČITNIŠKO DELO
STROKOVNO DELO,6.84 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,8.00 €/h neto,LJUBLJANA RUDNIK IN LJUBLJANA CENTER,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,7.74 €/h neto,"LIPICA, SEŽANA",PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.20 €/h neto,LOGATEC,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRAVNE STORITVE,7.74 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,10.00 €/h neto,KRANJSKA GORA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,6.88 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,6.45 €/h neto,PODČETRTEK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
KLICNI CENTER,6.88 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V DELAVNICI,7.12 €/h neto,JAKOBSKI DOL,DOPOLDAN,PO DOGOVORU
SORTIRANJE,6.20 €/h neto,RADEČE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
KINEZIOLOG/INJA,10.15 €/h neto,LJUBLJANA - ČRNUČE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
TAJNIŠKA DELA,7.31 €/h neto,VIR PRI DOMŽALAH,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
KINEZIOLOG/INJA,10.15 €/h neto,MEDVODE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,7.31 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.92 €/h neto,"PORTOROŽ, PIRAN",IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,9.00 €/h neto,GROSUPLJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.37 €/h neto,BLED,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.00 €/h neto,LJUBLJANA BEŽIGRAD,PO DOGOVORU,PO DOGOVORU
DELO V LOGISTIKI,6.45 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LOGISTIKI,7.31 €/h neto,MARIBOR,DOPOLDAN,PO DOGOVORU
PRODAJA,7.31 €/h neto,MARIBOR,DOPOLDAN,PO DOGOVORU
STREŽBA,9.47 €/h neto,LJUBLJANA CENTER,IZMENSKO,PO DOGOVORU
STREŽBA,8.00 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,6.88 €/h neto,SLOVENJ GRADEC,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LABORATORIJU,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,8.50 €/h neto,MENGEŠ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.20 €/h neto,KRANJ,PO DOGOVORU,PO DOGOVORU
DELO V TURIZMU,6.20 €/h neto,"SEŽANA, DUTOVLJE, LOKEV",MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,6.88 €/h neto,LJUBLJANA BEŽIGRAD,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,7.74 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,6.88 €/h neto,KOPER (SERMIN),PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROMOCIJA,8.00 €/h neto,LUCIJA/KOPER /DOBROVO/PIRAN,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,8.00 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
DELO V PROIZVODNJI,7.31 €/h neto,GROSUPLJE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
GRADBENA DELA,8.61 €/h neto,LJUBLJANA IN OKOLICA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,7.00 €/h neto,KRANJ,IZMENSKO,PO DOGOVORU
SNEMANJE IN UREJANJE KRATKIH VIDEOV,9.00 €/h neto,MARIBOR/OD DOMA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PAKIRANJE,7.00 €/h neto,LOGATEC,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
VADITELJ/ICA,12.00 €/h neto,LUKOVICA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.62 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.50 €/h neto,ANKARAN,IZMENSKO,POČITNIŠKO DELO
DELO V KUHINJI,7.50 €/h neto,ANKARAN,PO DOGOVORU,POČITNIŠKO DELO
PROJEKTNO DELO,6.20 €/h neto,LJUBLJANA,DOPOLDAN,"DLJE ČASA (ZAČ. IN OBČ. DELO), PO DOGOVORU"
RAČUNALNIŠKE STORITVE,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
SOBAR/ICA,7.74 €/h neto,"LIPICA, SEŽANA",PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.74 €/h neto,SEŽANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
TEHNIČNA POMOČ,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LABORATORIJU,7.40 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
NEGOVANJE,"OD 8,38 DO 11,62 €/H BRUTO",PORTOROŽ,IZMENSKO,"AVGUST, SEPTEMBER"
POUČEVANJE,8.00 €/h neto,KOPER,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAČUNOVODSKA DELA,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
