delo
BLAGAJNIK
DELO V KUHINJI
ČIŠČENJE
ANIMATOR/KA
RAZVOZ
DELO V PROIZVODNJI
POMOČ V TRGOVINI
ADMINISTRATIVNA DELA
PROMOCIJA
DELO S STRANKAMI
ČIŠČENJE
PROJEKTNO DELO
ZDRAVSTVENI TEHNIK
KOZMETIČNE STORITVE
ČIŠČENJE
POMOČ V STREŽBI
VNOS PODATKOV V RAČUNALNIK
OBDELAVA IN ODPREMA SPLETNIH NAROČIL
POMOČ V TRGOVINI
DELO V DELAVNICI
ADMINISTRATIVNA DELA
DELO V ORDINACIJI
ČIŠČENJE
ADMINISTRATIVNA DELA
ADMINISTRATIVNA DELA
BLAGAJNIK
DELJENJE LETAKOV
SELITVE
FIZIČNA DELA
ZDRAVSTVENA NEGA
ZAHTEVNA ADMINISTRATIVNA DELA
DELO NA TERENU
POMOČ PRI PRODAJI
DELO NA BENCINSKEM SERVISU
ELEKTROTEHNIČNA DELA
PRODAJA
PRODAJA
ADMINISTRATIVNA DELA
DELO V TURIZMU
POMOČ V KUHINJI
DELO V FARMACIJI
PRODAJA
PRODAJA
DELO V PROIZVODNJI
ASISTENT/KA
PROGRAMIRANJE
DELO V PROIZVODNJI
POMOČ V TRGOVINI
TEHNIČNA POMOČ
DELO NA RECEPCIJI
